player_id,old_player_id,country_id,name,sex,hand,ht,byear_of_birth
1,105453,JPN,Kei Nishikori,M,R,178,1989
2,106421,RUS,Daniil Medvedev,M,R,198,1995
3,104542,FRA,Jo-Wilfried Tsonga,M,R,188,1984
4,104871,FRA,Jeremy Chardy,M,R,188,1986
5,200282,AUS,Alex De Minaur,M,R,183,1998
6,105683,CAN,Milos Raonic,M,R,196,1990
7,106034,JPN,Yasutaka Uchiyama,M,R,-1,1991
8,105777,BUL,Grigor Dimitrov,M,R,188,1990
9,106121,JPN,Taro Daniel,M,R,-1,1992
10,111442,AUS,Jordan Thompson,M,R,183,1993
11,104918,GBR,Andy Murray,M,R,190,1986
12,200175,SRB,Miomir Kecmanovic,M,R,183,1998
13,106401,AUS,Nick Kyrgios,M,R,193,1994
14,106378,GBR,Kyle Edmund,M,R,188,1994
15,105357,AUS,John Millman,M,R,183,1988
16,106045,USA,Denis Kudla,M,R,180,1991
17,106423,AUS,Thanasi Kokkinakis,M,R,-1,1995
18,106109,AUS,Alex Bolt,M,L,-1,1992
19,200615,AUS,Alexei Popyrin,M,R,196,1998
20,105902,AUS,James Duckworth,M,R,183,1991
21,104919,ARG,Leonardo Mayer,M,R,188,1986
22,105379,SLO,Aljaz Bedene,M,R,181,1988
23,105992,USA,Ryan Harrison,M,R,183,1991
24,105526,GER,Jan Lennard Struff,M,R,193,1989
25,200005,FRA,Ugo Humbert,M,L,188,1997
26,106415,JPN,Yoshihito Nishioka,M,L,170,1994
27,105815,USA,Tennys Sandgren,M,R,188,1990
28,126203,USA,Taylor Fritz,M,R,193,1996
29,215018,AUS,Destanee Aiava,F,R,-1,1999
30,201540,FRA,Kristina Mladenovic,F,R,184,1992
31,211279,GBR,Harriet Dart,F,R,-1,1995
32,211880,AUS,Priscilla Hon,F,R,-1,1997
33,201545,LAT,Anastasija Sevastova,F,R,169,1989
34,201611,AUS,Daria Gavrilova,F,R,166,1993
35,201520,CZE,Petra Kvitova,F,L,183,1989
36,203389,USA,Danielle Rose Collins,F,R,178,1993
37,204426,EST,Anett Kontaveit,F,R,174,1995
38,201521,ESP,Carla Suarez Navarro,F,R,162,1987
39,201615,UKR,Lesia Tsurenko,F,R,174,1988
40,202596,ROU,Mihaela Buzarnescu,F,L,-1,1987
41,214040,AUS,Kimberly Birrell,F,U,-1,1997
42,214082,RUS,Darya Kasatkina,F,R,170,1996
43,201662,CZE,Karolina Pliskova,F,R,184,1991
44,201709,KAZ,Yulia Putintseva,F,R,163,1994
45,213631,CZE,Marie Bouzkova,F,R,180,1997
46,201325,AUS,Samantha Stosur,F,R,172,1983
47,201548,AUS,Ajla Tomljanovic,F,R,180,1992
48,211701,CZE,Katerina Siniakova,F,R,174,1995
49,202427,GBR,Johanna Konta,F,R,180,1990
50,201585,USA,Sloane Stephens,F,R,170,1992
51,202428,NED,Kiki Bertens,F,R,182,1991
52,210722,BEL,Elise Mertens,F,R,179,1994
53,202499,CRO,Donna Vekic,F,R,179,1995
54,201517,SVK,Magdalena Rybarikova,F,R,180,1987
55,205925,BLR,Aliaksandra Sasnovich,F,R,-1,1993
56,215713,RUS,Anastasia Potapova,F,R,175,2000
57,211768,JPN,Naomi Osaka,F,R,180,1996
58,202494,UKR,Elina Svitolina,F,R,174,1993
59,106216,USA,Bjorn Fratangelo,M,R,-1,1992
60,117360,AUS,Marc Polmans,M,R,-1,1996
61,124187,USA,Reilly Opelka,M,R,211,1996
62,105166,CAN,Peter Polansky,M,R,180,1987
63,106426,CHI,Cristian Garin,M,R,185,1995
64,106331,AUS,Christopher O'Connell,M,R,183,1993
65,105974,AUS,Maverick Banes,M,R,-1,1991
66,105441,AUS,John Patrick Smith,M,L,-1,1989
67,134329,AUS,Blake Ellis,M,U,-1,1998
68,111153,USA,Christopher Eubanks,M,R,-1,1995
69,105614,USA,Bradley Klahn,M,L,190,1989
70,216146,UKR,Marta Kostyuk,F,R,175,2001
71,201586,GBR,Heather Watson,F,R,170,1991
72,202424,SUI,Conny Perrin,F,R,-1,1990
73,203530,SUI,Viktorija Golubic,F,R,169,1991
74,206362,AUS,Naiktha Bains,F,R,-1,1997
75,211684,POL,Magdalena Frech,F,R,-1,1997
76,211095,USA,Bernarda Pera,F,L,-1,1994
77,203462,UKR,Kateryna Kozlova,F,R,-1,1993
78,213530,USA,Allie Kiick,F,R,-1,1994
79,214452,USA,Caroline Dolehide,F,R,-1,1997
80,201556,CZE,Lucie Hradecka,F,R,177,1984
81,215337,SRB,Olga Danilovic,F,L,-1,2000
82,201492,GER,Andrea Petkovic,F,R,180,1986
83,214863,RUS,Sofya Zhuk,F,R,-1,1999
84,202484,USA,Nicole Gibbs,F,R,-1,1992
85,211941,AUS,Zoe Hives,F,U,-1,1995
86,201518,BEL,Yanina Wickmayer,F,R,182,1988
87,214096,CZE,Karolina Muchova,F,R,178,1995
88,211878,AUS,Lizette Cabrera,F,R,-1,1997
89,215035,UKR,Dayana Yastremska,F,R,175,1999
90,201478,USA,Varvara Lepchenko,F,L,180,1985
91,201605,LUX,Mandy Minella,F,R,180,1984
92,201597,JPN,Kurumi Nara,F,R,155,1991
93,201447,USA,Vania King,F,R,165,1988
94,202600,BUL,Viktoriya Tomova,F,R,-1,1994
95,206108,USA,Jennifer Brady,F,R,178,1994
96,201539,USA,Christina Mchale,F,R,170,1991
97,202434,SRB,Aleksandra Krunic,F,R,-1,1992
98,105138,ESP,Roberto Bautista Agut,M,R,183,1987
99,104607,CZE,Tomas Berdych,M,R,196,1984
100,104925,SRB,Novak Djokovic,M,R,188,1986
101,106065,ITA,Marco Cecchinato,M,R,185,1991
102,105932,GEO,Nikoloz Basilashvili,M,R,185,1991
103,104527,SUI,Stan Wawrinka,M,R,183,1984
104,105583,SRB,Dusan Lajovic,M,R,180,1989
105,105732,FRA,Pierre Hugues Herbert,M,R,188,1990
106,105916,HUN,Marton Fucsovics,M,R,188,1991
107,126094,RUS,Andrey Rublev,M,R,188,1996
108,111797,CHI,Nicolas Jarry,M,R,-1,1994
109,104198,ESP,Guillermo Garcia Lopez,M,R,188,1982
110,105575,LTU,Ricardas Berankis,M,R,175,1989
111,105550,ARG,Guido Pella,M,L,185,1989
112,104269,ESP,Fernando Verdasco,M,L,188,1982
113,109739,GER,Maximilian Marterer,M,L,-1,1994
114,106000,BIH,Damir Dzumhur,M,R,172,1991
115,105657,ROU,Marius Copil,M,R,193,1989
116,104312,ITA,Andreas Seppi,M,R,190,1983
117,105077,ESP,Albert Ramos,M,L,188,1987
118,111575,RUS,Karen Khachanov,M,R,198,1995
119,104898,NED,Robin Haase,M,R,190,1986
120,122570,QAT,Mubarak Shannan Zayid,M,U,-1,1994
121,126610,ITA,Matteo Berrettini,M,R,196,1995
122,105676,BEL,David Goffin,M,R,171,1990
123,105173,FRA,Adrian Mannarino,M,L,183,1987
124,117356,TUR,Cem Ilkel,M,R,-1,1994
125,104660,UKR,Sergiy Stakhovsky,M,R,193,1985
126,103893,ITA,Paolo Lorenzi,M,R,183,1981
127,104259,GER,Philipp Kohlschreiber,M,R,178,1982
128,105376,GER,Peter Gojowczyk,M,R,185,1988
129,106233,AUT,Dominic Thiem,M,R,185,1992
130,110602,AUT,Dennis Novak,M,R,-1,1992
131,106325,QAT,Jabor Al Mutawa,M,U,-1,1993
132,104571,CYP,Marcos Baghdatis,M,R,183,1984
133,104586,CZE,Lukas Rosol,M,R,196,1984
134,104868,GBR,James Ward,M,R,190,1986
135,126237,ITA,Gian Marco Moroni,M,R,-1,1997
136,105806,BIH,Mirza Basic,M,R,-1,1990
137,104897,GER,Matthias Bachinger,M,R,188,1986
138,105477,ARG,Marco Trungelliti,M,R,-1,1989
139,110476,QAT,Mousa Shanan Zayed,M,U,-1,1993
140,105063,ITA,Andrea Arnaboldi,M,L,-1,1987
141,104731,RSA,Kevin Anderson,M,R,203,1985
142,103333,CRO,Ivo Karlovic,M,R,208,1978
143,104468,FRA,Gilles Simon,M,R,183,1984
144,104327,BEL,Steve Darcis,M,R,178,1983
145,144719,ESP,Jaume Munar,M,R,183,1996
146,105332,FRA,Benoit Paire,M,R,196,1988
147,104291,TUN,Malek Jaziri,M,R,185,1983
148,105208,LAT,Ernests Gulbis,M,R,190,1987
149,111513,SRB,Laslo Djere,M,R,188,1994
150,104620,ITA,Simone Bolelli,M,R,183,1984
151,125802,BLR,Ilya Ivashka,M,R,193,1993
152,106210,CZE,Jiri Vesely,M,L,198,1992
153,111581,USA,Michael Mmoh,M,R,-1,1997
154,106368,IND,Ramkumar Ramanathan,M,R,-1,1993
155,105539,RUS,Evgeny Donskoy,M,R,185,1989
156,111202,KOR,Hyeon Chung,M,R,-1,1995
157,111459,IND,Arjun Kadhe,M,R,-1,1993
158,104797,UZB,Denis Istomin,M,R,188,1985
159,105430,MDA,Radu Albot,M,R,175,1988
160,128034,POL,Hubert Hurkacz,M,R,196,1996
161,126156,FRA,Antoine Hoang,M,R,-1,1994
162,106329,BRA,Thiago Monteiro,M,L,183,1993
163,106148,ESP,Roberto Carballes Baena,M,R,183,1992
164,105432,IND,Prajnesh Gunneswaran,M,L,-1,1988
165,104719,ESP,Marcel Granollers,M,R,190,1985
166,104665,ESP,Pablo Andujar,M,R,180,1985
167,200000,CAN,Felix Auger Aliassime,M,R,193,1999
168,105155,POR,Pedro Sousa,M,R,180,1987
169,106078,BLR,Egor Gerasimov,M,R,196,1991
170,104593,ESP,Daniel Gimeno Traver,M,R,185,1984
171,105031,IND,Saketh Myneni,M,R,-1,1986
172,105359,TPE,Jason Jung,M,R,-1,1988
173,105413,SVK,Andrej Martin,M,R,180,1988
174,104978,GER,Daniel Brands,M,R,196,1986
175,111790,CAN,Brayden Schnur,M,R,-1,1994
176,124116,AUT,Sebastian Ofner,M,R,-1,1995
177,105074,BEL,Ruben Bemelmans,M,L,-1,1987
178,106420,ITA,Gianluigi Quinzi,M,L,-1,1995
179,124154,IND,Sasi Kumar Mukund,M,R,-1,1996
180,105656,ESA,Marcelo Arevalo,M,R,-1,1989
181,111815,GBR,Cameron Norrie,M,L,188,1995
182,105807,ESP,Pablo Carreno Busta,M,R,188,1991
183,104926,ITA,Fabio Fognini,M,R,178,1987
184,104545,USA,John Isner,M,R,206,1985
185,105311,POR,Joao Sousa,M,R,185,1989
186,103970,ESP,David Ferrer,M,R,175,1982
187,104907,NZL,Jose Rubin Statham,M,R,183,1987
188,133430,CAN,Denis Shapovalov,M,L,185,1999
189,105449,USA,Steve Johnson,M,R,188,1989
190,111456,USA,Mackenzie McDonald,M,R,-1,1995
191,104655,URU,Pablo Cuevas,M,R,180,1986
192,104547,ARG,Horacio Zeballos,M,L,188,1985
193,105047,GER,Tim Puetz,M,R,-1,1987
194,103565,FRA,Stephane Robert,M,R,185,1980
195,104667,AUT,Philipp Oswald,M,R,-1,1986
196,105341,ITA,Thomas Fabbiano,M,R,-1,1989
197,110686,NZL,Finn Tearney,M,R,-1,1990
